Rodrigues	 female	75+ 	0.000000
Rodrigues	 male	75+ 	0.000000
Romania	 female	15-24 	0.010821
Romania	 male	15-24 	0.077577
Romania	 female	25-34 	0.012469
Romania	 male	25-34 	0.109523
Romania	 female	35-54 	0.026168
Romania	 male	35-54 	0.182520
Romania	 female	5-14 	0.002902
Romania	 male	5-14 	0.006577
Romania	 female	55-74 	0.038353
Romania	 male	55-74 	0.222887
Romania	 female	75+ 	0.043258
Romania	 male	75+ 	0.216024
Russian Federation	 female	15-24 	0.038314
Russian Federation	 male	15-24 	0.189285
Russian Federation	 female	25-34 	0.043872
Russian Federation	 male	25-34 	0.309754
Russian Federation	 female	35-54 	0.045636
Russian Federation	 male	35-54 	0.298572
Russian Federation	 female	5-14 	0.005115
Russian Federation	 male	5-14 	0.008882
Russian Federation	 female	55-74 	0.043909
Russian Federation	 male	55-74 	0.265045
Russian Federation	 female	75+ 	0.106680
Russian Federation	 male	75+ 	0.451122
Saint Vincent and Grenadines	 female	15-24 	0.000000
Saint Vincent and Grenadines	 male	15-24 	0.027544
Saint Vincent and Grenadines	 female	25-34 	0.000000
Saint Vincent and Grenadines	 male	25-34 	0.026782
Saint Vincent and Grenadines	 female	35-54 	0.000000
Saint Vincent and Grenadines	 male	35-54 	0.018433
Saint Vincent and Grenadines	 female	5-14 	0.029706
Saint Vincent and Grenadines	 male	5-14 	0.000000
Saint Vincent and Grenadines	 female	55-74 	0.000000
Saint Vincent and Grenadines	 male	55-74 	0.000000
Saint Vincent and Grenadines	 female	75+ 	0.000000
Saint Vincent and Grenadines	 male	75+ 	0.163981
San Marino	 female	15-24 	0.000000
San Marino	 male	15-24 	0.000000
San Marino	 female	25-34 	0.000000
San Marino	 male	25-34 	0.000000
San Marino	 female	35-54 	0.000000
San Marino	 male	35-54 	0.000000
San Marino	 female	5-14 	0.000000
San Marino	 male	5-14 	0.000000
San Marino	 female	55-74 	0.000000
San Marino	 male	55-74 	0.000000
San Marino	 female	75+ 	0.000000
San Marino	 male	75+ 	0.000000
Serbia	 female	15-24 	0.008448
Serbia	 male	15-24 	0.050666
Serbia	 female	25-34 	0.033108
Serbia	 male	25-34 	0.104614
Serbia	 female	35-54 	0.049934
